Time,Anomaly (deg C)
1980-10,0.097044446
1980-11,0.20625903
1980-12,0.113674425
1981-01,0.44390386
1981-02,0.33654687
1981-03,0.33077422
1981-04,0.19894964
1981-05,0.14773263
1981-06,0.24469398
1981-07,0.26434663
1981-08,0.31205258
1981-09,0.1367701
1981-10,0.05529363
1981-11,0.16566867
1981-12,0.3634116
1982-01,-0.024068523
1982-02,0.06821714
1982-03,-0.13698223
1982-04,0.020402594
1982-05,0.09071928
1982-06,-0.0013139228
1982-07,0.075844936
1982-08,-0.045588225
1982-09,0.016534334
1982-10,0.041061886
1982-11,0.029048067
1982-12,0.27728456
1983-01,0.3584244
1983-02,0.33635557
1983-03,0.24756545
1983-04,0.17535253
1983-05,0.22204514
1983-06,0.16691586
1983-07,0.114927486
1983-08,0.28377086
1983-09,0.3260587
1983-10,0.113148384
1983-11,0.24547733
1983-12,0.096021675
1984-01,0.15764055
1984-02,0.02001983
1984-03,0.14398187
1984-04,0.010137831
1984-05,0.21433139
1984-06,-0.038575307
1984-07,0.024865314
1984-08,0.08923666
1984-09,0.12719487
1984-10,0.040902097
1984-11,-0.05765004
1984-12,-0.15602855
1985-01,0.1155558
1985-02,-0.104183674
1985-03,0.04271185
1985-04,0.0028204513
1985-05,0.067987494
1985-06,0.12117828
1985-07,-0.022891713
1985-08,0.1431363
1985-09,0.11767927
1985-10,0.039328277
1985-11,0.018120727
1985-12,0.05531433
1986-01,0.11670128
1986-02,0.3093589
1986-03,0.13820964
1986-04,0.13485684
1986-05,0.13101041
1986-06,0.039869342
1986-07,0.042954296
1986-08,0.08790163
1986-09,0.024142634
1986-10,0.051004555
1986-11,0.04011416
1986-12,0.03212002
1987-01,0.22004549
1987-02,0.31599578
1987-03,0.104251325
1987-04,0.1889307
1987-05,0.16939573
1987-06,0.26585034
1987-07,0.34769198
1987-08,0.21050136
1987-09,0.26593548
1987-10,0.26956236
1987-11,0.18613108
1987-12,0.37202516
1988-01,0.45912874
1988-02,0.33302152
1988-03,0.38519633
1988-04,0.32767174
1988-05,0.31933275
1988-06,0.33036658
1988-07,0.2556859
1988-08,0.25767827
1988-09,0.25825685
1988-10,0.254709
1988-11,0.028571693
1988-12,0.17620139
1989-01,-0.026005011
1989-02,0.23738506
1989-03,0.18512788
1989-04,0.14958581
1989-05,0.038256668
1989-06,0.09383323
1989-07,0.26380813
1989-08,0.25223345
1989-09,0.29773393
1989-10,0.26001906
1989-11,0.11531052
1989-12,0.2837144
1990-01,0.28277373
1990-02,0.27884814
1990-03,0.6347864
1990-04,0.4940245
1990-05,0.40596974
1990-06,0.3151888
1990-07,0.3796524
1990-08,0.28095096
1990-09,0.22031836
1990-10,0.38645974
1990-11,0.35899177
1990-12,0.28878504
1991-01,0.30340114
1991-02,0.4070458
1991-03,0.24740836
1991-04,0.43600866
1991-05,0.31398752
1991-06,0.4334769
1991-07,0.46741664
1991-08,0.3620418
1991-09,0.35283542
1991-10,0.25118244
1991-11,0.25364134
1991-12,0.23831235
1992-01,0.36292845
1992-02,0.34844932
1992-03,0.30922496
1992-04,0.16185239
1992-05,0.16797747
1992-06,0.15643431
1992-07,0.005340144
1992-08,0.03774724
1992-09,-0.08989003
1992-10,-0.022682328
1992-11,-0.03733942
1992-12,0.09871902
1993-01,0.26102662
1993-02,0.28333446
1993-03,0.23608007
1993-04,0.19514883
1993-05,0.19503304
1993-06,0.16445984
1993-07,0.15863112
1993-08,0.08418279
1993-09,0.045521
1993-10,0.15051654
1993-11,0.06566895
1993-12,0.14829831
1994-01,0.20031649
1994-02,0.014015401
1994-03,0.23547028
1994-04,0.25558206
1994-05,0.20769499
1994-06,0.31435218
1994-07,0.18217762
1994-08,0.1732785
1994-09,0.2722316
1994-10,0.34696406
1994-11,0.3531186
1994-12,0.24739546
